City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,7.12,94,60,0.89,NZ,1724263901
1,kununurra,-15.7667,128.7333,18.99,88,6,0.0,AU,1724263901
2,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,76,0,1.0,RU,1724263901
3,kachug,53.9606,105.8817,12.27,78,2,1.13,RU,1724263901
4,kasongo-lunda,-6.4667,16.8167,28.09,19,42,1.31,CD,1724263901
5,albany,42.6001,-73.9662,20.81,57,26,2.24,US,1724263693
6,nar'yan-mar,67.6713,53.087,6.86,94,57,2.91,RU,1724263901
7,badger,64.8,-147.5333,8.93,83,100,3.09,US,1724263901
8,saipan,15.1355,145.701,28.39,83,20,3.6,MP,1724263775
9,edinburgh of the seven seas,-37.0676,-12.3116,11.2,74,35,15.14,SH,1724263901
10,broome,42.2506,-75.833,16.06,81,75,5.14,US,1724263902
11,grytviken,-54.2811,-36.5092,-5.57,69,26,11.22,GS,1724263902
12,port elizabeth,-33.918,25.5701,13.51,80,0,14.4,ZA,1724263902
13,margaret river,-33.95,115.0667,10.78,82,100,4.06,AU,1724263902
14,mata-utu,-13.2816,-176.1745,26.32,79,13,9.89,WF,1724263902
15,rakhiv,48.0526,24.2009,19.45,48,3,2.33,UA,1724263902
16,penzance,50.1186,-5.5371,16.38,80,61,9.38,GB,1724263902
17,benguela,-12.5763,13.4055,21.21,82,63,1.96,AO,1724263763
18,bethel,41.3712,-73.414,22.25,60,75,4.63,US,1724263902
19,wailua homesteads,22.0669,-159.378,26.44,82,40,7.2,US,1724263902
20,mahajanga,-15.7167,46.3167,25.01,47,20,4.63,MG,1724263903
21,al bawiti,28.3492,28.8659,34.88,21,0,5.73,EG,1724263903
22,ushuaia,-54.8,-68.3,5.12,75,17,1.19,AR,1724263903
23,thompson,55.7435,-97.8558,24.09,78,75,2.57,CA,1724263903
24,el calafate,-50.3408,-72.2768,3.26,67,36,1.0,AR,1724263903
25,hadibu,12.65,54.0333,25.97,78,70,8.51,YE,1724263903
26,galliano,29.4422,-90.2992,33.0,43,0,2.57,US,1724263903
27,mount isa,-20.7333,139.5,11.87,58,0,0.51,AU,1724263903
28,tarija,-21.5355,-64.7296,32.31,5,0,11.32,BO,1724263669
29,fort bragg,35.139,-79.006,26.49,48,0,2.57,US,1724263903
30,invercargill,-46.4,168.35,3.34,91,43,0.45,NZ,1724263903
31,la'ie,21.6477,-157.9253,28.98,77,25,2.68,US,1724263904
32,ribeira grande,38.5167,-28.7,27.22,65,20,2.24,PT,1724263904
33,hryhoriopol,47.1536,29.2964,27.77,22,100,1.04,MD,1724263904
34,west island,-12.1568,96.8225,26.99,83,20,4.12,CC,1724263904
35,butha-buthe,-28.8333,28.5,7.82,26,0,1.59,LS,1724263904
36,bilibino,68.0546,166.4372,5.49,96,100,1.54,RU,1724263904
37,gizo,-8.103,156.8419,27.16,80,100,4.23,SB,1724263904
38,namp'o,38.7375,125.4078,25.19,96,100,2.51,KP,1724263754
39,tete,-16.1564,33.5867,28.05,32,20,3.09,MZ,1724263904
40,taroudant,30.4703,-8.877,36.18,19,0,10.11,MA,1724263905
41,dudinka,69.4058,86.1778,13.64,62,92,2.39,RU,1724263905
42,gisenyi,-1.7028,29.2564,19.43,65,100,0.69,RW,1724263905
43,nur-sultan,51.1801,71.446,14.97,77,0,2.0,KZ,1724263905
44,arraial do cabo,-22.9661,-42.0278,24.92,73,0,5.14,BR,1724263765
45,yellowknife,62.456,-114.3525,11.34,86,99,8.49,CA,1724263875
46,iqaluit,63.7506,-68.5145,19.85,55,75,8.05,CA,1724263906
47,port lincoln,-34.7333,135.8667,11.58,89,37,4.01,AU,1724263906
48,college,64.8569,-147.8028,8.97,84,100,3.09,US,1724263906
49,vernon,50.2581,-119.2691,22.18,41,32,0.45,CA,1724263773
50,ginir,7.1333,40.7,12.5,83,65,4.63,ET,1724263906
51,fortuna,40.5982,-124.1573,22.18,70,40,5.14,US,1724263906
52,balykshi,47.0667,51.8667,24.0,69,0,4.0,KZ,1724263906
53,hasaki,35.7333,140.8333,25.59,87,100,4.23,JP,1724263906
54,gulu,2.7746,32.299,17.84,98,98,2.78,UG,1724263906
55,prince rupert,54.3161,-130.3201,13.83,94,75,3.6,CA,1724263906
56,trenggalek,-8.05,111.7167,21.02,97,88,0.73,ID,1724263907
57,adamstown,-25.066,-130.1015,16.86,55,98,8.16,PN,1724263907
58,faya-largeau,17.9257,19.1043,34.15,40,74,2.92,TD,1724263681
59,luanda,-8.8368,13.2343,20.64,93,67,4.86,AO,1724263907
60,vadso,70.0744,29.7487,18.09,63,75,6.17,NO,1724263907
61,al khums,32.6486,14.2619,27.0,71,50,5.06,LY,1724263907
62,qaqortoq,60.7167,-46.0333,5.83,77,12,3.18,GL,1724263907
63,kasungu,-13.0333,33.4833,18.83,33,11,2.54,MW,1724263907
64,forster,-32.1667,152.5167,12.43,97,100,2.75,AU,1724263907
65,st. john's,47.5649,-52.7093,24.04,89,100,0.89,CA,1724263666
66,kirakira,-10.4544,161.9205,26.34,87,60,7.63,SB,1724263792
67,cuatro cienegas de carranza,26.9833,-102.0833,34.87,25,33,4.34,MX,1724263908
68,orsova,44.7253,22.3961,24.8,45,60,2.51,RO,1724263908
69,tofol,5.3248,163.0078,28.54,70,78,2.97,FM,1724263908
70,tsiombe,-25.3,45.4833,19.37,61,0,3.27,MG,1724263908
71,port-aux-francais,-49.35,70.2167,2.92,92,91,14.14,TF,1724263908
72,noumea,-22.2763,166.4572,17.8,72,0,4.26,NC,1724263908
73,avarua,-21.2078,-159.775,23.03,83,75,8.23,CK,1724263908
74,isafjordur,66.0755,-23.124,7.02,81,75,9.26,IS,1724263735
75,bantogon,6.5333,124.0333,26.64,83,85,1.69,PH,1724263908
76,poronaysk,49.2167,143.1167,14.57,86,99,3.17,RU,1724263909
77,jamestown,42.097,-79.2353,17.79,59,75,5.14,US,1724263860
78,kirensk,57.7853,108.1119,13.94,87,88,0.57,RU,1724263909
79,constantia,44.1833,28.65,25.38,69,97,2.66,RO,1724263909
80,sitka,57.0531,-135.33,14.94,77,0,0.0,US,1724263638
81,keelung,25.1283,121.7419,30.05,88,18,0.5,TW,1724263909
82,tiksi,71.6872,128.8694,3.21,87,51,2.47,RU,1724263909
83,sao joao da barra,-21.6403,-41.0511,23.49,76,57,5.48,BR,1724263909
84,shingu,33.7333,135.9833,25.72,89,94,1.71,JP,1724263909
85,masina,-4.3836,15.3914,30.16,48,20,5.14,CD,1724263909
86,kibre mengist,5.8833,38.9833,13.39,96,100,0.45,ET,1724263910
87,acapulco de juarez,16.8634,-99.8901,30.9,66,40,5.14,MX,1724263744
88,sinabang,2.4803,96.3801,26.44,79,100,2.22,ID,1724263910
89,georgetown,5.4112,100.3354,26.96,83,20,0.0,MY,1724263910
90,kilindoni,-7.9139,39.6668,25.18,73,16,8.97,TZ,1724263910
91,buka,40.8108,69.1986,23.74,24,100,1.76,UZ,1724263910
92,harstad,68.799,16.5293,11.75,97,100,6.26,NO,1724263910
93,tura,25.5198,90.2201,24.23,98,100,2.59,IN,1724263910
94,tidjikja,18.5564,-11.4271,34.7,37,36,5.33,MR,1724263911
95,puerto baquerizo moreno,-0.9,-89.6,22.55,73,75,8.75,EC,1724263806
96,puerto ayora,-0.7393,-90.3518,19.19,98,89,3.13,EC,1724263911
97,flying fish cove,-10.4217,105.6791,24.82,88,100,5.66,CX,1724263911
98,hawaiian paradise park,19.5933,-154.9731,22.73,96,75,3.6,US,1724263911
99,magadan,59.5667,150.8,11.68,81,92,3.97,RU,1724263911
100,blackmans bay,-43.0167,147.3167,10.07,65,54,3.13,AU,1724263911
101,mossel bay,-34.1831,22.146,10.96,58,57,11.96,ZA,1724263911
102,klyuchi,52.2667,79.1667,19.07,56,88,2.41,RU,1724263912
103,ventanas,-1.45,-79.4667,30.76,52,86,1.74,EC,1724263797
104,codrington,-38.2667,141.9667,8.15,94,94,4.37,AU,1724263912
105,axim,4.8699,-2.2405,24.74,85,74,3.15,GH,1724263912
106,remire-montjoly,4.9167,-52.2667,32.02,70,75,5.14,GF,1724263912
107,bodo,67.28,14.405,12.02,87,100,6.17,NO,1724263817
108,bandarbeyla,9.4942,50.8122,25.12,79,53,12.98,SO,1724263912
109,la passe,45.5549,-0.8967,20.7,51,15,5.13,FR,1724263912
110,walvis bay,-22.9575,14.5053,15.53,63,4,8.22,NA,1724263912
111,longyearbyen,78.2186,15.6401,12.91,71,75,6.69,SJ,1724263912
112,zuni pueblo,35.0725,-108.8506,29.48,25,2,1.63,US,1724263913
113,nuuk,64.1835,-51.7216,6.34,75,75,5.66,GL,1724263913
114,olonkinbyen,70.9221,-8.7187,4.54,90,86,3.79,SJ,1724263913
115,yazman,29.1212,71.7446,35.76,41,64,3.5,PK,1724263913
116,lompoc,34.6391,-120.4579,26.99,56,0,5.66,US,1724263913
117,karungdong,5.8844,121.263,26.89,83,56,0.45,PH,1724263913
118,carnarvon,-24.8667,113.6333,19.61,73,2,5.77,AU,1724263913
119,sao geraldo do araguaia,-6.4006,-48.555,39.41,16,0,3.71,BR,1724263913
120,gopalpur,19.2667,84.9167,28.41,87,100,7.35,IN,1724263913
121,taltal,-25.4,-70.4833,15.0,67,1,2.66,CL,1724263913
122,holualoa,19.6228,-155.9522,23.82,98,75,4.12,US,1724263914
123,hermanus,-34.4187,19.2345,9.89,58,59,5.06,ZA,1724263914
124,cidreira,-30.1811,-50.2056,18.35,87,97,8.1,BR,1724263914
125,whitehorse,60.7161,-135.0538,10.61,71,20,3.09,CA,1724263914
126,bredasdorp,-34.5322,20.0403,8.27,58,19,4.4,ZA,1724263646
127,broken hill,-31.95,141.4333,12.43,56,100,2.77,AU,1724263914
128,puerto natales,-51.7236,-72.4875,4.25,75,0,1.03,CL,1724263914
129,lautoka,-17.6167,177.4667,22.92,73,20,2.57,FJ,1724263914
130,ilulissat,69.2167,-51.1,5.01,81,40,2.57,GL,1724263914
131,karratha,-20.7377,116.8463,19.95,79,16,2.8,AU,1724263915
132,tyazhinskiy,56.116,88.524,13.4,92,22,5.99,RU,1724263915
133,guerrero negro,27.9769,-114.0611,28.85,49,9,2.48,MX,1724263915
134,alofi,-19.0595,-169.9187,22.94,94,100,4.63,NU,1724263915
135,sanctuary point,-35.1114,150.629,14.38,66,100,4.4,AU,1724263915
136,port douglas,-16.4833,145.4667,21.63,76,80,4.79,AU,1724263915
137,felipe carrillo puerto,19.5833,-88.05,34.07,48,52,2.87,MX,1724263915
138,uturoa,-16.7333,-151.4333,25.67,59,36,10.62,PF,1724263916
139,ciudad lazaro cardenas,17.9583,-102.2,31.35,57,35,3.02,MX,1724263625
140,punta arenas,-53.15,-70.9167,7.06,70,20,7.2,CL,1724263916
141,stanley,54.868,-1.6985,16.27,79,40,6.69,GB,1724263916
142,abbeville,50.1,1.8333,18.05,66,99,3.68,FR,1724263916
143,hamilton,39.1834,-84.5333,24.38,45,40,2.24,US,1724263797
144,atafu village,-8.5421,-172.5159,27.95,77,98,9.47,TK,1724263916
145,cockburn town,21.4612,-71.1419,28.66,77,1,7.38,TC,1724263917
146,matthew town,20.95,-73.6667,31.14,65,29,7.07,BS,1724263917
147,kourou,5.1552,-52.6478,29.52,68,40,4.43,GF,1724263917
148,ziro,27.6333,93.8333,17.09,99,79,0.42,IN,1724263917
149,price,39.5994,-110.8107,26.59,38,0,4.25,US,1724263917
150,zeya,53.75,127.2667,14.65,70,100,1.14,RU,1724263917
151,idri,27.5,13.2667,39.67,10,0,3.64,LY,1724263917
152,tobelo,1.7284,128.0095,26.6,81,97,1.21,ID,1724263917
153,inhambane,-23.865,35.3833,20.18,75,0,3.77,MZ,1724263629
154,papatowai,-46.5619,169.4708,4.52,85,24,2.72,NZ,1724263917
155,port mathurin,-19.6833,63.4167,21.23,67,100,12.95,MU,1724263917
156,hithadhoo,-0.6,73.0833,28.55,75,100,4.16,MV,1724263918
157,new norfolk,-42.7826,147.0587,10.51,75,40,4.25,AU,1724263918
158,luderitz,-26.6481,15.1594,17.8,61,0,10.86,NA,1724263918
159,conduaga,8.862,117.4893,25.82,88,94,1.53,PH,1724263918
160,nabire,-3.3667,135.4833,23.85,94,97,1.75,ID,1724263918
161,sisimiut,66.9395,-53.6735,5.19,82,77,5.1,GL,1724263918
162,acarau,-2.8856,-40.12,29.18,62,1,9.13,BR,1724263918
163,veraval,20.9,70.3667,27.6,88,100,4.31,IN,1724263918
164,kalifornsky,60.4183,-151.29,9.17,100,100,2.57,US,1724263919
165,hede,33.7681,120.2517,21.98,92,100,2.99,CN,1724263919
166,rosario,-32.9468,-60.6393,12.75,71,99,8.05,AR,1724263661
167,kayangel,8.0823,134.7173,29.2,71,97,0.96,PW,1724263919
168,afaahiti,-17.75,-149.2833,23.17,66,75,12.38,PF,1724263919
169,tenosique,17.4833,-91.4333,31.51,64,13,3.64,MX,1724263919
170,utrik,11.2278,169.8474,27.99,73,89,4.17,MH,1724263919
171,valparaiso,-33.0393,-71.6273,13.89,66,75,8.23,CL,1724263865
172,moyamba,8.1667,-12.4333,23.35,97,100,1.61,SL,1724263919
173,inarajan village,13.2736,144.7484,27.54,94,100,3.15,GU,1724263919
174,palmer,42.1584,-72.3287,22.9,49,75,2.06,US,1724263920
175,lagoa formosa,-18.7786,-46.4075,31.12,14,0,4.9,BR,1724263743
176,santa rosa,14.3122,121.1114,28.99,95,100,0.93,PH,1724263691
177,darwin,-12.4611,130.8418,23.99,88,20,1.54,AU,1724263920
178,puerto quijarro,-17.7833,-57.7667,40.55,10,1,4.14,BO,1724263920
179,california city,35.1258,-117.9859,33.81,13,0,4.12,US,1724263762
180,sekong,-6.3996,106.0252,22.45,93,83,0.13,ID,1724263920
181,yantarnyy,54.8717,19.9381,18.71,81,96,11.59,RU,1724263920
182,nemuro,43.3236,145.575,16.74,90,82,5.47,JP,1724263920
183,plettenberg bay,-34.0527,23.3716,12.0,68,98,10.41,ZA,1724263921
184,solleftea,63.1667,17.2667,15.92,76,68,3.29,SE,1724263921
185,arauquita,7.0292,-71.4281,34.98,40,48,1.37,CO,1724263921
186,dame-marie,18.5667,-74.4167,30.21,71,10,3.12,HT,1724263921
187,soderhamn,61.3037,17.0592,16.19,85,88,3.18,SE,1724263921
188,trashi yangtse,27.6116,91.498,19.5,95,100,0.74,BT,1724263921
189,luwuk,-0.9516,122.7875,22.01,91,100,2.19,ID,1724263921
190,hassi messaoud,31.6804,6.0729,36.92,22,0,2.57,DZ,1724263922
191,mezhdurechensk,53.6942,88.0603,13.56,98,98,1.95,RU,1724263922
192,vilyuchinsk,52.9306,158.4028,9.15,72,91,4.1,RU,1724263757
193,nadi,-17.8,177.4167,23.0,73,20,2.57,FJ,1724263922
194,quellon,-43.1167,-73.6167,7.8,79,80,1.4,CL,1724263922
195,la mure,44.9026,5.7866,16.44,84,42,2.5,FR,1724263922
196,bay point,38.0291,-121.9616,27.12,48,0,6.17,US,1724263922
197,ugoofaaru,5.6667,73.0,27.83,78,98,6.95,MV,1724263922
198,lebu,-37.6167,-73.65,10.18,72,100,6.75,CL,1724263922
199,aksu,41.1231,80.2644,25.76,33,34,1.69,CN,1724263923
200,rabo de peixe,37.8,-25.5833,26.73,74,20,5.14,PT,1724263923
201,san patricio,28.017,-97.5169,37.97,33,12,1.99,US,1724263923
202,kamaishi,39.2667,141.8833,21.19,96,100,2.43,JP,1724263923
203,corcoran,36.098,-119.5604,29.08,20,0,3.02,US,1724263923
204,makurdi,7.7411,8.5121,24.52,93,56,1.41,NG,1724263923
205,djibo,14.1022,-1.6306,30.82,52,100,3.76,BF,1724263923
206,saucillo,28.0167,-105.2833,33.83,22,72,4.08,MX,1724263923
207,griffith,41.5284,-87.4237,22.75,45,0,2.57,US,1724263923
208,shenjiamen,29.9576,122.298,26.28,91,87,1.56,CN,1724263923
209,armacao de buzios,-22.7469,-41.8817,25.03,80,43,4.47,BR,1724263924
210,lihue,21.9789,-159.3672,26.77,77,40,7.2,US,1724263924
211,mwingi,-0.9344,38.0601,22.14,50,99,4.81,KE,1724263924
212,salahonda,2.1019,-78.7217,25.87,81,38,6.69,CO,1724263924
213,leava,-14.3,-178.1667,26.25,78,15,9.54,WF,1724263924
214,kodiak,57.79,-152.4072,13.73,82,100,0.0,US,1724263689
215,villa de san antonio,14.3167,-87.6167,30.63,51,53,2.41,HN,1724263924
216,ramshir,30.8946,49.4092,35.3,54,0,6.51,IR,1724263924
217,bijawar,24.6333,79.5,26.68,85,100,1.65,IN,1724263924
218,freetown,8.484,-13.2299,24.84,100,75,4.12,SL,1724263924
219,la sarre,48.8002,-79.1996,20.71,38,89,4.17,CA,1724263925
220,koulikoro,14.0,-7.75,27.4,72,50,2.99,ML,1724263925
221,nova sintra,14.8667,-24.7167,26.31,67,81,3.24,CV,1724263925
222,prineville,44.2999,-120.8345,21.39,42,0,2.06,US,1724263925
223,tokar,18.4254,37.729,36.46,38,12,10.65,SD,1724263925
224,bom jesus,-9.0744,-44.3586,37.91,16,2,2.87,BR,1724263926
225,tarakan,3.3,117.6333,26.47,81,67,1.85,ID,1724263926
226,santana,-0.0583,-51.1817,34.1,55,20,3.09,BR,1724263926
227,novofedorivka,46.1713,32.3178,25.45,57,69,1.8,UA,1724263926
228,urumqi,43.801,87.6005,23.53,47,100,2.0,CN,1724263926
229,geidam,12.897,11.9304,28.35,61,65,3.11,NG,1724263926
230,n'dalatando,-9.2978,14.9116,24.68,47,25,3.05,AO,1724263926
231,pacific grove,36.6177,-121.9166,18.93,89,0,3.6,US,1724263926
232,haiku-pauwela,20.9219,-156.3051,26.81,72,20,7.72,US,1724263927
233,labrador city,52.9463,-66.9114,14.95,63,75,3.6,CA,1724263927
234,beloyarskiy,63.7119,66.6722,11.69,86,29,2.22,RU,1724263927
235,isangel,-19.55,169.2667,21.47,85,53,4.37,VU,1724263927
236,farah,32.5,62.5,26.66,13,0,2.28,AF,1724263927
237,sydney,-33.8679,151.2073,16.51,65,100,2.57,AU,1724263833
238,portland,45.5234,-122.6762,21.95,69,75,2.57,US,1724263927
239,iquique,-20.2208,-70.1431,16.81,80,19,6.08,CL,1724263647
240,richards bay,-28.783,32.0377,24.87,30,0,3.38,ZA,1724263927
241,rio grande,-32.035,-52.0986,17.39,90,100,4.9,BR,1724263829
242,santyoku,37.4406,129.1708,26.79,84,97,2.08,KR,1724263928
243,belle fourche,44.6714,-103.8522,25.73,28,13,7.25,US,1724263928
244,springbok,-29.6643,17.8865,8.34,78,24,3.48,ZA,1724263928
245,mont-laurier,46.5501,-75.4993,20.89,33,98,4.82,CA,1724263861
246,oum hadjer,13.2954,19.6966,27.52,70,84,2.79,TD,1724263928
247,mena,51.5217,32.2157,26.0,20,24,3.38,UA,1724263928
248,anadyr,64.75,177.4833,6.28,100,40,4.0,RU,1724263928
249,ketchikan,55.3422,-131.6461,14.87,74,18,2.85,US,1724263928
250,mizque,-17.941,-65.3402,28.02,26,8,4.73,BO,1724263929
251,dryden,49.7833,-92.7503,25.16,47,0,4.63,CA,1724263929
252,enewetak,11.3474,162.3373,28.61,77,100,5.18,MH,1724263929
253,angaur state,6.906,134.13,29.45,69,76,2.07,PW,1724263929
254,kapuskasing,49.4169,-82.4331,22.55,33,15,0.88,CA,1724263802
255,nagqu,31.5,92.0,3.58,86,6,1.85,CN,1724263929
256,bagula,23.3167,88.65,27.71,88,95,3.67,IN,1724263929
257,cabedelo,-6.9811,-34.8339,29.37,76,16,7.14,BR,1724263929
258,sugito,36.0333,139.7333,29.41,88,100,2.64,JP,1724263930
259,novi knezevac,46.05,20.1,27.55,37,67,7.09,RS,1724263930
260,saint-philippe,-21.3585,55.7679,20.05,76,55,7.09,RE,1724263930
261,banamba,13.55,-7.45,26.89,76,58,2.83,ML,1724263930
262,polyarnyy,69.1989,33.4478,15.96,61,98,5.38,RU,1724263930
263,fisterra,42.9049,-9.2629,19.89,79,0,11.24,ES,1724263930
264,waingapu,-9.6567,120.2641,23.5,87,31,3.03,ID,1724263930
265,vila nova de foz coa,41.0637,-7.2039,33.07,30,32,3.72,PT,1724263930
266,qingdao,36.0986,120.3719,25.91,86,100,2.02,CN,1724263817
267,sabang,5.8933,95.3214,29.17,73,100,5.33,ID,1724263931
268,kone,-21.0595,164.8658,15.69,92,0,2.21,NC,1724263931
269,ellsworth,44.5434,-68.4195,21.05,77,0,4.12,US,1724263864
270,panaba,21.2833,-88.2667,34.42,43,90,3.08,MX,1724263931
271,kupang,-10.1667,123.5833,22.89,86,69,1.52,ID,1724263931
272,puerto lleras,3.0223,-73.4044,34.9,39,8,0.59,CO,1724263931
273,simanggang,1.2472,111.4528,22.7,100,100,0.37,MY,1724263931
274,sibirskiy,53.5777,83.7577,15.44,85,70,2.21,RU,1724263931
275,vorgashor,67.5833,63.95,7.95,88,98,3.45,RU,1724263931
276,kingston,17.997,-76.7936,33.98,66,29,1.09,JM,1724263931
277,lazaro cardenas,17.9583,-102.2,31.35,57,35,3.02,MX,1724263932
278,khandyga,62.6667,135.6,10.43,82,87,0.81,RU,1724263932
